dataset,quality,sweep,bpp,psnr
cesm,1,baseline,0.002620820820820821,8.660086631774902
cesm,1,mix,0.0028208875542208877,8.65766716003418
cesm,2,baseline,0.0018529195862529197,8.68781566619873
cesm,2,mix,0.0042183516850183515,8.674700736999512
cesm,3,baseline,0.0025393393393393394,8.669241905212402
cesm,3,mix,0.007088955622288956,8.67339038848877
cesm,4,baseline,0.003236703370036703,8.66442584991455
cesm,4,mix,0.008116583249916584,8.670287132263184
cesm,5,baseline,0.004015815815815816,8.662217140197754
cesm,5,mix,0.007096763430096764,8.663995742797852
cesm,6,baseline,0.005128461795128462,8.655256271362305
cesm,6,mix,0.010287821154487821,8.656148910522461
covid,1,baseline,0.035956190476190475,32.81634521484375
covid,1,mix,0.03670380952380952,32.752593994140625
covid,2,baseline,0.01513047619047619,32.674556732177734
covid,2,mix,0.016142,32.584415435791016
covid,3,baseline,0.024217619047619047,33.465538024902344
covid,3,mix,0.026551809523809523,33.457298278808594
covid,4,baseline,0.043504380952380954,34.29804992675781
covid,4,mix,0.04519561904761905,34.29231643676758
covid,5,baseline,0.07797209523809524,35.186973571777344
covid,5,mix,0.07992990476190476,35.18464279174805
covid,6,baseline,0.1372117142857143,36.205543518066406
covid,6,mix,0.13948047619047618,36.20326614379883
hurricane,1,baseline,0.011872,40.742637634277344
hurricane,1,mix,0.01243776,40.50972366333008
hurricane,2,baseline,0.01123712,44.98035430908203
hurricane,2,mix,0.0164352,45.25245666503906
hurricane,3,baseline,0.01260416,46.474769592285156
hurricane,3,mix,0.01416704,46.324119567871094
hurricane,4,baseline,0.01483264,47.399574279785156
hurricane,4,mix,0.01652736,47.13478469848633
hurricane,5,baseline,0.01686528,48.42563247680664
hurricane,5,mix,0.0211968,48.169952392578125
hurricane,6,baseline,0.02084736,49.10955047607422
hurricane,6,mix,0.02649728,48.977264404296875
nyx,1,baseline,0.07429623603820801,19.823415756225586
nyx,1,mix,0.07482552528381348,19.80524444580078
nyx,2,baseline,0.15009689331054688,22.12841033935547
nyx,2,mix,0.15150165557861328,22.118921279907227
nyx,3,baseline,0.28234243392944336,24.188308715820312
nyx,3,mix,0.2850680351257324,24.179576873779297
nyx,4,baseline,0.38060474395751953,24.87270736694336
nyx,4,mix,0.3827035427093506,24.8637752532959
nyx,5,baseline,0.4847526550292969,25.25705337524414
nyx,5,mix,0.4866495132446289,25.251792907714844
nyx,6,baseline,0.6136069297790527,25.54790687561035
nyx,6,mix,0.6157920360565186,25.540769577026367
roibinsz,1,baseline,0.012362119548292987,36.786434173583984
roibinsz,1,mix,0.012723517938799929,36.62042236328125
roibinsz,2,baseline,0.010374838149246881,37.32986831665039
roibinsz,2,mix,0.022193630865553243,37.21461868286133
roibinsz,3,baseline,0.01361758969399964,37.554954528808594
roibinsz,3,mix,0.030846704800616263,37.479671478271484
roibinsz,4,baseline,0.017655253798370837,37.800601959228516
roibinsz,4,mix,0.02599527969449134,37.75368118286133
roibinsz,5,baseline,0.022347696392572076,37.925865173339844
roibinsz,5,mix,0.038147607886843786,37.91401290893555
roibinsz,6,baseline,0.03706505171029125,38.21790313720703
roibinsz,6,mix,0.05910051956140495,38.19762420654297
stem,1,baseline,0.04947440854964718,26.226613998413086
stem,1,mix,0.0502777099609375,26.227033615112305
stem,2,baseline,0.04564051474294355,26.659461975097656
stem,3,baseline,0.09434656943044355,27.574260711669922
stem,3,mix,0.09740078833795363,27.570466995239258
stem,4,baseline,0.15326026178175403,28.199493408203125
stem,4,mix,0.1557518743699597,28.19904327392578
stem,5,baseline,0.23521767893145162,28.743480682373047
stem,5,mix,0.23803366384198588,28.744094848632812
stem,6,baseline,0.35639805947580644,29.23540496826172
stem,6,mix,0.35890936082409275,29.23767852783203
tecnick,1,baseline,0.05885111111111111,24.962308883666992
tecnick,1,mix,0.059653333333333336,24.888002395629883
tecnick,2,baseline,0.09949333333333334,28.036863327026367
tecnick,2,mix,0.10142888888888889,28.01740837097168
tecnick,3,baseline,0.1464,30.075328826904297
tecnick,3,mix,0.1492111111111111,30.05725860595703
tecnick,4,baseline,0.1992311111111111,31.329551696777344
tecnick,4,mix,0.20215555555555556,31.33419418334961
tecnick,5,baseline,0.26704222222222224,32.4386100769043
tecnick,5,mix,0.27058,32.43394470214844
tecnick,6,baseline,0.35881111111111114,33.49802017211914
tecnick,6,mix,0.3639044444444444,33.479705810546875
tomobank,1,baseline,0.023609161376953125,38.481693267822266
tomobank,1,mix,0.024337196350097658,38.40538787841797
tomobank,2,baseline,0.012708091735839843,37.12234115600586
tomobank,2,mix,0.019394683837890624,37.00263214111328
tomobank,3,baseline,0.02076416015625,38.99276351928711
tomobank,3,mix,0.02502307891845703,39.02842712402344
tomobank,4,baseline,0.029263114929199217,40.401939392089844
tomobank,4,mix,0.03443698883056641,40.357322692871094
tomobank,5,baseline,0.039888763427734376,41.6669807434082
tomobank,5,mix,0.043919944763183595,41.632415771484375
tomobank,6,baseline,0.058587074279785156,43.06324005126953
tomobank,6,mix,0.06216144561767578,43.036075592041016
